id,duration,country_code,title,director,gender,country,year_awarded
Q313764,142,FRA/DEU,The Tin Drum,Volker Schlöndorff,male,France/Germany,1979
Q182692,153,USA,Apocalypse Now,Francis Ford Coppola,male,United States of America,1979
Q854990,179,JPN/USA,Kagemusha,Akira Kurosawa,male,Japan/United States of America,1980
Q1353441,123,USA,All That Jazz,Bob Fosse,male,United States of America,1980
Q959682,147,POL,Man of Iron,Andrzej Wajda,male,Poland,1981
Q683020,114,TUR,Yol,Şerif Gören/Yılmaz Güney,male,Turkey,1982
Q400985,122,USA,Missing,Costa-Gavras,male,United States of America,1982
Q1140513,130,JPN,The Ballad of Narayama,Shohei Imamura,male,Japan,1983
Q160946,147,GBR/DEU/FRA/USA,"Paris, Texas",Wim Wenders,male,United States of America/United Kingdom/France/Germany,1984
Q433000,136,YUG,When Father Was Away on Business,Emir Kusturica,male,Socialist Federal Republic of Yugoslavia,1985
Q302490,126,GBR/FRA,The Mission,Roland Joffé,male,United Kingdom/France,1986
Q389971,93,FRA,Under the Sun of Satan,Maurice Pialat,male,France,1987
Q370707,157,SWE/DNK,Pelle the Conqueror,Bille August,male,Denmark/Sweden,1988
Q1367548,101,USA,"Sex, Lies, an d Videotape",Steven Soderbergh,male,United States of America,1989
Q751382,120,USA,Wild at Heart,David Lynch,male,United States of America,1990
Q237215,116,GBR/USA,Barton Fink,Ethan Coen/Joel Coen,male,United States of America/United Kingdom,1991
Q696413,171,CHN,Farewell My Concubine,Chen Kaige,male,People's Republic of China,1993
Q117315,121,GBR/AUS/NZL/FRA,The Piano,Jane Campion,female,Australia/New Zealand/United Kingdom/France,1993
Q104123,154,USA,Pulp Fiction,Quentin Tarantino,male,United States of America,1994
Q156516,163,BGR/HUN/YUG/FRA/DEU/CZE,Underground,Emir Kusturica,male,Federal Republic of Yugoslavia/Czech Republic/Bulgaria/France/Germany/Hungary,1995
Q391172,142,GBR,Secrets & Lies,Mike Leigh,male,United Kingdom,1996
Q1156892,110,JPN,The Eel,Shohei Imamura,male,Japan,1997
Q794178,95,IRN,Taste of Cherry,Abbas Kiarostami,male,Iran,1997
Q697770,137,ITA/DEU/FRA/GRC,Eternity and a Day,Thodoros Angelopoulos,male,France/Greece/Italy/Germany,1998
Q1907380,93,BEL/FRA,Rosetta,Jean-Pierre Dardenne/Luc Dardenne,male,France/Belgium,1999
Q110365,140,ISL/NOR/ESP/SWE/NLD/DEU/GBR/FIN/DNK/USA/FRA/ITA/ARG,Dancer in the Dark,Lars von Trier,male,Spain/Sweden/Denmark/Netherlands/United Kingdom/Norway/Finland/United States of America/Iceland/France/Germany/Italy/Argentina,2000
Q530812,99,ITA/FRA,The Son's Room,Nanni Moretti,male,France/Italy,2001
Q150804,149,GBR/POL/FRA/DEU,The Pianist,Roman Polanski,male,United Kingdom/Poland/France/Germany,2002
Q1163943,81,USA,Elephant,Gus Van Sant,male,United States of America,2003
Q221852,122,USA,Fahrenheit 9/11,Michael Moore,male,United States of America,2004
Q466024,95,BEL/FRA,The Child,Jean-Pierre Dardenne/Luc Dardenne,male,France/Belgium,2005
Q827106,127,ESP/CHE/GBR/IRL/FRA/DEU/BEL/ITA,The Wind That Shakes the Barley,Ken Loach,male,Spain/United Kingdom/France/Belgium/Italy/Germany/Republic of Ireland/Switzerland,2006
Q238245,113,ROU,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,male,Romania,2007
Q1139259,128,FRA,The Class,Laurent Cantet,male,France,2008
Q158023,144,AUT/ITA/FRA/DEU,The White Ribbon,Michael Haneke,male,France/Austria/Italy/Germany,2009
Q553901,113,THA/FRA,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,male,France/Thailand,2010
Q244257,138,USA,The Tree of Life,Terrence Malick,male,United States of America,2011
Q637820,127,AUT/FRA/DEU,Amour,Michael Haneke,male,France/Austria/Germany,2012
Q11648811,179,BEL/FRA/ESP,Blue Is the Warmest Colour,Abdellatif Kechiche,male,Spain/France/Belgium,2013
Q15921329,196,DEU/FRA/TUR,Winter Sleep,Nuri Bilge Ceylan,male,Turkey/France/Germany,2014
Q19816574,109,FRA,Dheepan,Jacques Audiard,male,France,2015
Q23823458,100,BEL/GBR/FRA,"I, Daniel Blake",Ken Loach,male,United Kingdom/France/Belgium,2016
Q27237522,152,SWE/FRA/DNK/DEU,The Square,Ruben Östlund,male,Denmark/Sweden/France/Germany,2017
Q48765577,121,JPN,Shoplifters,Hirokazu Koreeda,male,Japan,2018
Q105393862,108,BEL/FRA,Titane,Julia Ducournau,female,France/Belgium,2019
Q61448040,132,KOR,Parasite,Bong Joon-ho,male,South Korea,2019
Q97304180,149,SWE/DEU/GRC/USA/GBR/DNK/TUR/MEX/FRA,Triangle of Sadness,Ruben Östlund,male,Denmark/Sweden/United Kingdom/Mexico/Greece/United States of America/France/Germany/Turkey,2022
Q117037697,150,FRA,Anatomy of a Fall,Justine Triet,female,France,2023
